estatus	categoría	English
líder	dirigente	English
coup de chapeau	coup de chapeau	
market failures	fallos de mercado	
dossier	expediente	French
monitoring of the implementation	seguimiento de la implementación	
comité	comisión	French
dumping	competencia desleal	English
copyright	derechos de autor	English
ex post	retorno de la inversión	
récord	mejor marca	English
big bang	gran explosión	
stock	existencias	English
feed back	retroalimentación	
financial stability	estabilidad financiera	
screening	cribado	English
hot spots	puntos calientes	
estándar	norma	English
hobby	afición	English
boicot	boicot	English
best practice	buenas prácticas	
mainstreaming	transversalización	
bottom-up	abajo arriba	
timing	calendario	English
baby	pequeña	English
lifting	levantamiento de medidas	English
new look	nueva imagen	
hooligans	fanáticos violentos	
tour operators	agencias de viajes	
show	espectáculo	English
core business	negocio principal	
fax	fax	English
activity based management	gestión basada en la actividad	
test	examen	English
lobbies	grupos de presión	English
policy mix	combinación de políticas	
stocks	existencias	English
green shipping conference	Conferencia sobre transporte marítimo ecológico	
business	negocio	English
software	programación	English
corporate governance	gobierno corporativo	
stakeholders society	sociedades de participación ciudadana	
split comitology	comitología partida	
on line	en línea	
capacity building	generación de capacidad	
smart sanctions	sanciones inteligentes	
club	agrupación	English
lobby	grupo de presión	English
boom	auge	English
hardware	componentes informáticos	English
software	programación	English
yen	yen	Japanese
session news	boletín de sesión	
phasing out	reducción progresiva	
hushkits	dispositivos de silencio	
leasing	alquiler con opción de compra	English
bypass ratio	relación de derivación	
brand-new start	nuevo comienzo	
trading	transacciones bursátiles	English
black vengeance angels	ángeles de la venganza	
self regulation	autorregulación	
marketing	mercadotecnica	English
one man	un hombre	
one vote	un voto	
shopping list	lista de la compra	
pay as you go	de prepago	
fair trade	de comercio justo	
eslogan	lema	English
yogur	yogur	French
estrés	estrés	English
feedback	respuesta	English
an early bird catches the worm	el pájaro que madruga atrapa al gusano	
hachís	hachís	Arabic
fuel	combustóleo	English
confort	comodidad	French
gap	brecha	English
relax	relajamiento	English
handicap	obstáculo	English
roaming	de itinerancia	English
salami	salami	Italian
tándem	pareja	English
gendarme	agente de policía	French
platform	platforma	
action	acción	English
know how	conocimiento	
impasse	punto muerto	French
think tank	laboratorios de ideas	
pizza-service without delivery	servicio de pizza sin reparto	
collage	collage	French
from stable to table	del establo a la mesa	
short sea port	puerto del mar	
one stop shop	de ventanilla única	
dosier	expediente	French
on the job training	capacitación en el trabajo	
míster	señor	English
crash programme	plan de choque	
set top box	receptor de señal de televisión	
cliché	estereotipo	French
gay	homosexuales	English
painful and hard work	trabajo duro	
doping	dopaje	English
doping	dopaje	English
chef de mission	líder de la delegación	
adagio	lema	Italian
buró	órgano de dirección	French
carné	acreditación	French
puzzle	rompecabezas	English
cóctel	bomba	English
benchmarking	análisis comparativo	
score board	resultados	
ballotage	segunda vuelta	
internet	internet	English
flag of convenience	bandera de conveniencia	
acquis	acervo comunitario	
public private partnership	de colaboración público privada	
chip	chip	English
hip	molonas	English
cool	guays	English
score board	tablero de resultados	
clon	clon	English
performance reserve	reserva de eficacia	
menú	menú	French
learning by doing	aprender haciendo	
road pricing	tarificación de rutas	
single payment area	zona única de pagos	
soprano	soprano	Italian
round table	mesa redonda	
smoking gun	prueba irrefutable	
intifada	intifada	Arabic
end of live vehiculs	vehículos al final de su vida útil	
black boxes	cajas negras	
light	bajos en nicotina	English
madame	señora	French
droit de suite	derecho de participación	
fair play	juego limpio	
dumping	competencia desleal	English
antidumping	anti competencia desleal	English
maillot	camiseta	French
bonus	prima	English
bonus	prima	English
bonus	prima	English
hackers	piratas informáticos	English
online	en línea	English
bistec	filete	English
tampón	caching	French
striptease	desnudo	English
ranking	clasificación	English
ring	cuadrilátero	English
póker	póker	English
chat room	canal de mensajería instantánea	
call back	retrollamada	
naming and shaming	nombrar y avergonzar	
versus	contra	English
microchip	microchip	English
teenager	adolescentes	English
brandy	brandy	English
pub	bar	English
aquaplaning	hidroplaneo	English
chófer	conductor	French
airbag	airbag	English
chofer	conductor	French
fast track	de vía rápida	
stand by	modo de espera	
hooligan	fanáticos	English
spamming	correo basura	
spammer	remitentes de correo basura	English
opt-in	opción de suscribirse	
opt-out	darse de baja	
spam	correos basura	English
bloc noir	bloque negro	
premier	primer ministro	French
shock	conmoción	English
trust	grupo de empresas	English
bridge	ir demasiado lejos	English
cowboy	vaqueros	English
convoy	caravana	English
majors	grandes estudios	English
on line	en línea	
e in tempo	y a tiempo	
stress	estrés	English
convergence	convergencia	
share fishermen	pescadores autónomos	
check and balance	controles y equilibrios	
mail	correo electrónico	English
capacity building	aumento de capacidad	
blue box	caja azul	
green box	caja verde	
kamikaze	suicida	Japanese
glamour	atractivo	English
made in	hechas en	English
perestroika	perestroika	Russian
malta	malta	English
whisky	whisky	English
brainstorming	tormenta de ideas	English
low cost carrier	aerolínea de bajo coste	
single audits	auditorias únicas	
on the spot	en el acto	
free riders	polizones	
drafting sessions	sesiones de redacción	
think tank	laboratorio de ideas	
workshop	seminario	English
spin over	spin over	
bistró	taberna	French
cookies	galletas digitales	English
cookies	galletas	English
radar	radar	English
vodka	vodka	Russian
whisky	whisky	English
chequear	consultar	English
complot	conspiración	French
crack	crisis	English
máster	posgrado	English
tótem	tótem	English
rally	rally	English
input	datos de entrada	English
coñac	coñac	French
gulag	gulag	Russian
esquí	esquí	French
kit	botiquín	English
críquet	críquet	English
napalm	napalm	English
cómic	tebeo	English
charter	chárter	English
picnic	picnic	French
pizza	pizza	Italian
hámster	hámster	English
amateur	aficionado	French
golf	golf	English
sheriff	sheriff	English
póster	mural	English
yonqui	drogradicto	English
tawny	tawny	
ruby	ruby	
vintage	vintage	English
late bottled	late bottled	
catering	servicio de comidas	English
pogromo	pogromo	Russian
sándwich	bocadillo	English
bulevar	avenida	French
ballet	danza	French
casete	cinta	French
tsunami	maremoto	English
spray	aerosol	English
módem	módem	English
blues	blues	English
suní	suní	Arabic
shií	shií	
rock	rock	English
antidúmping	anti competencia desleal	
beicon	beicon	English
confeti	confeti	Italian
bobsleigh	bobsled	English
windsurf	windsurf	English
influenza	gripe	Italian
mitin	encuentro	English
cherry	cherry	English
caché	caché	French
revólver	pistola	English
hockey	hockey	English
críquet	críquet	English
argot	jerga	French
jersey	jersey	English
miss	miss	English
gángster	mafioso	English
espín	espín	English
pull	de tracción	English
push	empuje	English
fine tuning	operaciones de ajuste	
blog	blog	English
tory	conservador	English
cinc	cinc	French
comodoro	capitán de navío	English
permafrost	permahielo	English
bufete	despacho	French
streaming	retransmisión por internet	English
zombi	muerto viviente	English
yihad	yihad	Arabic
rap	rap	English
piano	piano	Italian
tabloide	prensa sensacionalista	English
tabloide	prensa sensacionalista	English
gangster	gangster	
emails	correos electrónicos	English
jets	aviones	English
spa	balenario	English
jet society	élite	
premium	de pago	English
esprint	empujón	English
hiyab	velo islámico	Arabic
chucrut	chucrut	French
harén	harén	French
capó	capó	French
debut	estreno	French
mozzarella	mozzarella	Italian
sushi	sushi	Japanese
visa shopping	visa shopping	
neocon	neoconservadoras	English
phishing	ciberestafas	English
banners	báners	English
in crescendo	al alza	
megabyte	megabyte	English
ketchup	ketchup	English
cabaré	cabaré	French
jemer	jemer	French
krom	krom	
degar	degar	
link	enlace	English
folclore	tradición	English
ralentí	ralentí	French
flirtear	coquetear	English
hándicap	incapacidad	English
fagot	fagot	French
magneto	imán	English
zigzag	zigzag	French
kiosco	kiosko	French
freelance	autónomos	English
karaoke	karaoke	Japanese
bad banks	bancos malos	
ticket	vale	English
scouts	scouts	English
blogger	bloguero	English
blogger	bloguero	English
pivotar	oscilar	French
coaching	asesoramiento	English
