pair_id,loanword_example,native_example,n_words_changed,loanword_wer,native_wer,wer_difference,loanword_transcript,native_transcript
es_000,,,1,1.0,1.0,0.0,,
es_001,,,1,1.0,1.0,0.0,,
es_002,,,1,1.0,1.0,0.0,,
es_003,,,1,1.0,1.0,0.0,,
es_004,,,1,1.0,1.0,0.0,,
es_005,,,1,1.0,1.0,0.0,,
es_006,,,1,1.0,1.0,0.0,,
es_007,,,1,1.0,1.0,0.0,,
es_008,,,1,1.0,1.0,0.0,,
es_009,,,1,1.0,1.0,0.0,,
es_010,,,1,1.0,1.0,0.0,,
es_011,,,1,1.0,1.0,0.0,,
es_012,,,1,1.0,1.0,0.0,,
es_013,,,1,1.0,1.0,0.0,,
es_014,,,1,1.0,1.0,0.0,,
es_015,,,1,1.0,1.0,0.0,,
es_016,,,1,1.0,1.0,0.0,,
es_017,,,1,1.0,1.0,0.0,,
es_018,,,1,1.0,1.0,0.0,,
es_019,,,1,1.0,1.0,0.0,,
es_020,,,2,1.0,1.0,0.0,,
es_021,,,1,1.0,1.0,0.0,,
es_022,,,1,1.0,1.0,0.0,,
es_023,,,1,1.0,1.0,0.0,,
es_024,,,1,1.0,1.0,0.0,,
es_025,,,1,1.0,1.0,0.0,,
es_026,,,1,1.0,1.0,0.0,,
es_027,,,1,1.0,1.0,0.0,,
es_028,,,1,1.0,1.0,0.0,,
es_029,,,1,1.0,1.0,0.0,,
